claim_number,policy_number,policyholder_id,vehicle_vin,claim_type,claim_status,severity,incident_date,incident_location,incident_description,number_of_vehicles_involved,claimed_amount,approved_amount,paid_amount,payment_method,incident_evidence,fraud_score,is_fraudulent,fraud_reason,submitted_date,reviewed_date,closed_date
CLM-132299635510,POL-395519366147,ZW-PH-6731973214,TFL0JMPSGCKE1S8JS,ACCIDENT,CLOSED,MAJOR,2025-01-22 06:19:00,"Industrial Area, Bindura, MASHONALAND_CENTRAL",Rear-ended at traffic light during rush hour on Samora Machel Avenue,3,16520.27,16277.422031,16277.422031,CASH,,0.2531,False,,2025-01-25 01:19:00,2025-02-14 01:19:00,2025-02-19 01:19:00
CLM-628291423617,POL-410456828430,ZW-PH-1199781811,3JH2N0A5ZD3LB981E,ACCIDENT,PAID,TOTAL_LOSS,2025-02-27 20:20:18,"Harare CBD, Kariba, MASHONALAND_WEST",T-bone collision at four-way stop near Chitungwiza,1,8044.67,7646.458835,7646.458835,ECOCASH,,0.2832,False,,2025-02-28 10:20:18,2025-03-15 10:20:18,
CLM-978571827132,POL-125827395200,ZW-PH-8207361858,3LJUMT48XZBVLWVTU,NATURAL_DISASTER,PAID,MINOR,2026-03-15 16:07:29,"Samora Machel Avenue, Makuti, MASHONALAND_WEST",Flash flood submerged vehicle in Budiriro low-lying area,1,1033.27,1017.977604,1017.977604,SWIPE,,0.0952,False,,2026-03-18 08:07:29,2026-04-07 08:07:29,
CLM-324565412399,POL-619986762978,ZW-PH-4187892763,DVVA73TTB8TCHFWG8,FIRE,SUBMITTED,MINOR,2026-04-22 05:27:31,"Commuter Terminus, Shurugwi, MIDLANDS",Engine fire while driving on Harare-Beitbridge highway,1,1505.64,0.00,0.00,CASH,,0.2902,False,,2026-04-23 12:27:31,,
CLM-063782224974,POL-110421904781,ZW-PH-6417842507,M1TJY9A2PTFDZD127,NATURAL_DISASTER,CLOSED,MINOR,2025-11-29 22:32:10,"Bulawayo Road, Harare, HARARE",Tornado debris caused significant body damage in Chipinge,1,331.91,300.312168,300.312168,ECOCASH,,0.0062,False,,2025-11-30 20:32:10,2025-12-14 20:32:10,2025-12-23 20:32:10
CLM-762310824023,POL-789760401845,ZW-PH-6579517369,W1H8XMDL8NR5FLJFZ,VANDALISM,CLOSED,MINOR,2025-04-24 03:16:22,"Beitbridge Border Post, Hwange, MATABELELAND_NORTH","Windscreen and side windows smashed, nothing stolen",1,914.73,789.869355,789.869355,BANK_TRANSFER,,0.2224,False,,2025-04-24 13:16:22,2025-05-09 13:16:22,2025-05-24 13:16:22
CLM-948263702317,POL-002800196154,ZW-PH-5867771403,FAH7UR5RRNPX3TZNG,ACCIDENT,CLOSED,MINOR,2024-12-22 20:17:59,"Simon Mazorodze Road, Kwekwe, MIDLANDS",Side-swipe on Bulawayo Road near Gweru tollgate,2,806.56,735.179440,735.179440,ECOCASH,,0.0173,False,,2024-12-23 09:17:59,2024-12-31 09:17:59,2025-01-09 09:17:59
CLM-458235222598,POL-346168722265,ZW-PH-7539198825,U6BXF0HXJNUHLZNF2,ACCIDENT,PAID,MAJOR,2025-09-16 18:26:25,"Rural Road, Ruwa, MASHONALAND_EAST",T-bone collision at four-way stop near Chitungwiza,1,2923.08,2523.494964,2523.494964,BANK_TRANSFER,,0.2017,False,Multiple claims history,2025-09-18 07:26:25,2025-10-01 07:26:25,
CLM-777298170000,POL-346168722265,ZW-PH-7539198825,U6BXF0HXJNUHLZNF2,THEFT,APPROVED,TOTAL_LOSS,2025-06-29 00:43:23,"Harare CBD, Ruwa, MASHONALAND_EAST","Attempted carjacking in Eastlea, significant ignition damage",1,5676.88,5462.293936,0.00,CASH,,0.2228,False,Multiple claims history,2025-07-01 18:43:23,2025-07-13 18:43:23,
CLM-099126604773,POL-346168722265,ZW-PH-7539198825,U6BXF0HXJNUHLZNF2,ACCIDENT,APPROVED,MODERATE,2025-03-26 08:30:34,"Chirundu Border Post, Ruwa, MASHONALAND_EAST",Side collision at intersection — other driver ran red light in Harare CBD,2,2108.48,1971.850496,0.00,ECOCASH,,0.3298,False,Multiple claims history,2025-03-28 13:30:34,2025-04-03 13:30:34,
CLM-748753749953,POL-896712423183,ZW-PH-7539198825,J60FFCHLANUZYPMW7,OTHER,CLOSED,MINOR,2026-01-28 13:02:32,"Township Road, Ruwa, MASHONALAND_EAST",Collision with cattle on A5 rural road near Gwanda,1,1156.66,541.859339,541.859339,ECOCASH,,0.5854,False,Claimed amount grossly inflated beyond vehicle proportion; Multiple claims history,2026-01-29 12:02:32,2026-02-09 12:02:32,2026-02-15 12:02:32
CLM-048157069403,POL-641335231552,ZW-PH-3993391892,01GKN3WHSS3L16FT2,ACCIDENT,CLOSED,TOTAL_LOSS,2025-09-15 09:43:18,"Samora Machel Avenue, Kwekwe, MIDLANDS",Side collision at intersection — other driver ran red light in Harare CBD,1,2565.2,2341.25804,2341.25804,ECOCASH,,0.0866,False,,2025-09-15 22:43:18,2025-09-30 22:43:18,2025-10-10 22:43:18
CLM-427609791441,POL-948286377557,ZW-PH-9916510116,N7F9LUVP0MWNK5MBK,ACCIDENT,CLOSED,MODERATE,2024-09-14 16:06:17,"Beitbridge Border Post, Rusape, MANICALAND",Side collision at intersection — other driver ran red light in Harare CBD,3,1433.92,1223.994112,1223.994112,SWIPE,,0.1876,False,Multiple claims history,2024-09-14 20:06:17,2024-09-24 20:06:17,2024-09-29 20:06:17
CLM-375207203303,POL-948286377557,ZW-PH-9916510116,N7F9LUVP0MWNK5MBK,THEFT,PAID,MINOR,2025-05-01 03:14:06,"Farm Road, Rusape, MANICALAND",Vehicle stolen from Bulawayo Show Grounds during public event,1,447.49,424.086273,424.086273,BANK_TRANSFER,,0.1799,False,Multiple claims history,2025-05-02 10:14:06,2025-05-11 10:14:06,
CLM-466049880359,POL-557812236137,ZW-PH-9916510116,UTF84BDP1PYB3X8G5,ACCIDENT,PAID,MODERATE,2025-05-14 20:07:40,"Gas Station, Rusape, MANICALAND",Single vehicle accident — lost control on wet road near Mutare,2,3848.97,3500.253318,3500.253318,ECOCASH,,0.47419999999999995,False,Multiple claims history,2025-05-15 18:07:40,2025-05-30 18:07:40,
CLM-304345762499,POL-047358752102,ZW-PH-3443434726,1CHH8NY2KGSKBKE8S,VANDALISM,UNDER_REVIEW,MAJOR,2026-04-14 21:19:43,"Bulawayo CBD, Mount Darwin, MASHONALAND_CENTRAL",Deep keymarks along both doors while parked in CBD,1,7460.75,0.00,0.00,SWIPE,,0.1022,False,,2026-04-15 04:19:43,,
CLM-610330157999,POL-424949274031,ZW-PH-6092690288,5P21C7F8ND51SAKUA,VANDALISM,PAID,TOTAL_LOSS,2026-03-24 10:15:49,"Beitbridge Border Post, Chinhoyi, MASHONALAND_WEST",All four tyres deflated and rims scratched,1,10775.11,9803.195078,9803.195078,CASH,,0.27,False,Multiple claims history,2026-03-27 07:15:49,2026-04-08 07:15:49,
CLM-140388739527,POL-424949274031,ZW-PH-6092690288,5P21C7F8ND51SAKUA,ACCIDENT,REJECTED,MODERATE,2025-10-15 15:53:26,"Border Post Area, Mutare, MASHONALAND_WEST","Hit and run incident on Simon Mazorodze Road, other driver fled",2,13952.73,0.00,0.00,CASH,,0.99,True,Claim amount suspiciously close to coverage limit; Claimed amount grossly inflated beyond vehicle proportion; Claim exceeds market value for 8-year-old vehicle; Incident at border crossing — difficult to verify independently; Multiple claims history,2025-10-17 21:53:26,2025-11-25 21:53:26,2025-11-25 21:53:26
CLM-748554846221,POL-424949274031,ZW-PH-6092690288,5P21C7F8ND51SAKUA,THEFT,PAID,MINOR,2025-11-22 04:59:28,"Border Post Area, Victoria Falls, MASHONALAND_WEST",Wheels stolen — replacement cost claimed at premium import price,1,9861.99,1096.414288,1096.414288,SWIPE,,0.7082999999999999,True,Incident at border crossing — difficult to verify independently; Parts theft (Wheels) with inflated import-price replacement claim; Multiple claims history,2025-11-24 20:59:28,2025-12-14 20:59:28,
CLM-629642588941,POL-715877221207,ZW-PH-4903952637,25PWC02KWG2WNSZN6,ACCIDENT,SUBMITTED,MODERATE,2026-04-22 22:42:14,"Residential Area, Gweru, MIDLANDS",Collision in Westgate shopping mall parking area while reversing,1,2467.92,0.00,0.00,ECOCASH,,0.0591,False,,2026-04-25 07:42:14,,
CLM-248843877213,POL-715877221207,ZW-PH-4903952637,25PWC02KWG2WNSZN6,NATURAL_DISASTER,SUBMITTED,MINOR,2026-04-23 12:10:57,"Beitbridge Border Post, Gweru, MIDLANDS","Severe hail damage to bonnet, roof and boot during Harare storms",1,940.3,0.00,0.00,SWIPE,,0.1115,False,,2026-04-23 17:10:57,,
CLM-227201455883,POL-743132898947,ZW-PH-4873334549,4RUS3836V3XECRDHJ,ACCIDENT,SUBMITTED,MINOR,2026-04-20 18:15:55,"Simon Mazorodze Road, Gokwe, MIDLANDS",T-bone collision at four-way stop near Chitungwiza,1,496.97,0.00,0.00,SWIPE,,0.1867,False,,2026-04-23 09:15:55,,
CLM-840308711076,POL-172357585625,ZW-PH-0098309379,85BNCAD50M574WJV6,ACCIDENT,PAID,MODERATE,2026-03-10 10:33:13,"Farm Road, Chimanimani, MANICALAND",T-bone collision at four-way stop near Chitungwiza,2,4854.9,4247.06652,4247.06652,BANK_TRANSFER,,0.1281,False,,2026-03-10 13:33:13,2026-03-16 13:33:13,
CLM-024382188004,POL-172357585625,ZW-PH-0098309379,85BNCAD50M574WJV6,ACCIDENT,UNDER_REVIEW,MINOR,2025-08-26 16:00:00,"Tollgate, Chimanimani, MANICALAND",Incident occurred — significant damage discovered afterwards,2,5206.55,0.00,0.00,SWIPE,,0.7777,True,Claimed amount grossly inflated beyond vehicle proportion; Claim filed within first 14 days of policy inception; Non-specific incident description,2025-08-27 04:00:00,,
CLM-305714556499,POL-050940385702,ZW-PH-0519670393,HZWJXCYSG5WJJ2B8N,ACCIDENT,PAID,MODERATE,2025-12-12 06:41:25,"Tollgate, Bindura, MASHONALAND_CENTRAL",Side collision at intersection — other driver ran red light in Harare CBD,2,2235.2,1968.98768,1968.98768,ECOCASH,,0.2733,False,,2025-12-14 12:41:25,2025-12-25 12:41:25,
CLM-449161498431,POL-050940385702,ZW-PH-0519670393,HZWJXCYSG5WJJ2B8N,VANDALISM,PAID,MINOR,2026-02-03 00:35:27,"Bulawayo CBD, Bindura, MASHONALAND_CENTRAL",Headlights and taillights smashed in parking garage,1,13567.71,1910.614650,1910.614650,SWIPE,,0.5946,False,Claim exceeds market value for 8-year-old vehicle,2026-02-03 22:35:27,2026-02-21 22:35:27,
CLM-499087266343,POL-792528435340,ZW-PH-9165652487,WKFCDSKNCMTBYVD88,NATURAL_DISASTER,PAID,MINOR,2025-06-27 21:30:51,"Township Road, Mount Darwin, MASHONALAND_CENTRAL",Lightning strike triggered electrical fire in dashboard,1,442.12,437.6988,437.6988,SWIPE,,0.324,False,Multiple claims history,2025-06-28 19:30:51,2025-07-12 19:30:51,
CLM-035718034206,POL-792528435340,ZW-PH-9165652487,WKFCDSKNCMTBYVD88,THEFT,PAID,MINOR,2025-06-08 15:33:40,"Highway A5, Mount Darwin, MASHONALAND_CENTRAL",Vehicle stolen and recovered badly damaged near Highfield,1,297.41,275.907257,275.907257,CASH,,0.2421,False,Multiple claims history,2025-06-10 19:33:40,2025-06-15 19:33:40,
CLM-720147294063,POL-792528435340,ZW-PH-9165652487,WKFCDSKNCMTBYVD88,ACCIDENT,PAID,MINOR,2024-12-16 18:00:00,"Border Post Area, Beitbridge, MASHONALAND_CENTRAL",Hit while parked at Sam Levy Shopping Centre,3,432.24,415.944552,415.944552,BANK_TRANSFER,,0.6959,False,Claim filed within first 14 days of policy inception; Incident at border crossing — difficult to verify independently; Multiple claims history,2024-12-17 14:00:00,2025-08-02 08:37:09,
CLM-216417050979,POL-938824420735,ZW-PH-5284405076,3EWJ8ZGJF0Y837AUF,ACCIDENT,APPROVED,MINOR,2025-07-27 02:10:49,"Airport Road, Bulawayo, BULAWAYO",Collision in Westgate shopping mall parking area while reversing,3,685.73,652.540668,0.00,BANK_TRANSFER,,0.1579,False,,2025-07-28 23:10:49,2025-08-09 23:10:49,
CLM-151487092379,POL-984909854028,ZW-PH-0202430858,T7P1Z7LPUW1EHUPH5,ACCIDENT,PAID,MINOR,2025-10-14 05:32:19,"Parking Lot, Gweru, MIDLANDS",Single vehicle accident — lost control on wet road near Mutare,2,560.26,534.319962,534.319962,ECOCASH,,0.2673,False,,2025-10-16 17:32:19,2025-11-04 17:32:19,
CLM-697683922174,POL-984909854028,ZW-PH-0202430858,T7P1Z7LPUW1EHUPH5,ACCIDENT,PAID,MINOR,2025-10-04 20:57:53,"Gas Station, Gweru, MIDLANDS",Single vehicle accident — lost control on wet road near Mutare,2,718.57,709.516018,709.516018,ECOCASH,,0.1981,False,,2025-10-07 17:57:53,2025-10-17 17:57:53,
CLM-993748169638,POL-725372842693,ZW-PH-4628820088,FGRE1C4CD582719RJ,NATURAL_DISASTER,REJECTED,MAJOR,2025-05-26 18:37:16,"Samora Machel Avenue, Chiredzi, MASVINGO",Flooding swept vehicle into storm drain along Marimba Road,1,6112.95,0.00,0.00,SWIPE,,0.192,False,,2025-05-29 08:37:16,2025-06-28 08:37:16,2025-06-28 08:37:16
CLM-995602518585,POL-000731815028,ZW-PH-1149991697,ASNP6H9FJYBDEUXCK,THEFT,PAID,MAJOR,2025-05-14 06:50:51,"Highway A1, Bulawayo, BULAWAYO",Wheels and rims stolen while parked on Jason Moyo Avenue overnight,1,5630.48,5140.62824,5140.62824,ECOCASH,,0.0482,False,,2025-05-15 17:50:51,2025-05-27 17:50:51,
CLM-355392444782,POL-388202333088,ZW-PH-6890585777,ZYS2SNJNHL1RFFU0S,ACCIDENT,CLOSED,MINOR,2026-03-17 14:27:10,"Highway A1, Rusape, MANICALAND",Side-swipe on Bulawayo Road near Gweru tollgate,1,316.08,143.53550,143.53550,BANK_TRANSFER,,0.5183,False,Claimed amount grossly inflated beyond vehicle proportion,2026-03-17 20:27:10,2026-04-02 20:27:10,2026-04-09 20:27:10
CLM-049156252419,POL-354561507729,ZW-PH-0586558171,F0JAEDEGWHFA7K5CW,ACCIDENT,SUBMITTED,MINOR,2026-04-20 09:43:41,"Highway A1, Chipinge, MANICALAND",Side collision at intersection — other driver ran red light in Harare CBD,2,1021.28,0.00,0.00,SWIPE,,0.2349,False,,2026-04-21 16:43:41,,
CLM-027205944009,POL-610450579108,ZW-PH-1092485080,WT4M15M7LLJLXXMLD,ACCIDENT,UNDER_REVIEW,MINOR,2026-04-07 06:00:04,"Gas Station, Ruwa, MASHONALAND_EAST",Hit while parked at Sam Levy Shopping Centre,2,820.4,0.00,0.00,BANK_TRANSFER,,0.4896,False,,2026-04-09 00:00:04,,
CLM-976630638588,POL-610450579108,ZW-PH-1092485080,WT4M15M7LLJLXXMLD,NATURAL_DISASTER,PAID,MINOR,2026-03-04 04:47:39,"Rural Road, Ruwa, MASHONALAND_EAST","Erosion collapsed parking bay, vehicle dropped into ditch",1,646.22,572.421676,572.421676,CASH,,0.0225,False,,2026-03-05 03:47:39,2026-03-20 03:47:39,
CLM-164848502066,POL-320731409243,ZW-PH-3970202860,16B5NG2LTZD88UARV,ACCIDENT,REJECTED,MODERATE,2025-07-20 06:33:48,"Highway A2, Shurugwi, MIDLANDS",Side collision at intersection — other driver ran red light in Harare CBD,1,1352.26,0.00,0.00,SWIPE,,0.0188,False,,2025-07-21 09:33:48,2025-08-04 09:33:48,2025-08-04 09:33:48
CLM-029453367964,POL-320731409243,ZW-PH-3970202860,16B5NG2LTZD88UARV,VANDALISM,PAID,MAJOR,2025-02-01 05:00:00,"Township Road, Shurugwi, MIDLANDS","Accident happened, full details still being established",1,2966.76,2614.605588,2614.605588,CASH,,0.6732,False,Claim filed within first 14 days of policy inception; Non-specific incident description,2025-02-01 20:00:00,2025-09-04 08:39:11,
CLM-658292931850,POL-712332121901,ZW-PH-3695606985,6P4TTLNMMXD06477D,ACCIDENT,APPROVED,MODERATE,2024-11-14 06:40:53,"Robert Mugabe Road, Chinhoyi, MASHONALAND_WEST",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,1749.23,1609.816369,0.00,BANK_TRANSFER,,0.014,False,,2024-11-14 21:40:53,2024-11-23 21:40:53,
CLM-773706626885,POL-089507140312,ZW-PH-5284753468,CRDCP92ZT1VYXNHU3,ACCIDENT,CLOSED,MAJOR,2024-07-06 15:29:33,"Samora Machel Avenue, Gokwe, MIDLANDS",Hit while parked at Sam Levy Shopping Centre,3,21163.48,20424.874548,20424.874548,ECOCASH,,0.1648,False,,2024-07-07 07:29:33,2024-07-26 07:29:33,2024-08-07 07:29:33
CLM-301174487562,POL-144592828208,ZW-PH-2918100981,80Z925E72HYAP0JTN,ACCIDENT,CLOSED,TOTAL_LOSS,2025-11-22 23:48:59,"Main Street, Bulawayo, BULAWAYO",Collision in Westgate shopping mall parking area while reversing,3,1938.6,1894.20606,1894.20606,BANK_TRANSFER,,0.0172,False,,2025-11-24 00:48:59,2025-12-03 00:48:59,2025-12-16 00:48:59
CLM-238493776112,POL-285714775270,ZW-PH-6453549843,SD77F83E833L8V0LN,OTHER,CLOSED,MAJOR,2026-03-13 21:59:34,"Residential Area, Chiredzi, MASVINGO",Front suspension damaged by large pothole on Julius Nyerere Way,1,3370.69,2963.510648,2963.510648,SWIPE,,0.0774,False,,2026-03-15 06:59:34,2026-04-02 06:59:34,2026-04-17 06:59:34
CLM-309743823499,POL-597506863351,ZW-PH-2422835581,0XPPNYZNLAG992KGN,THEFT,CLOSED,MINOR,2026-03-05 02:31:49,"Shopping Center Parking, Ruwa, MASHONALAND_EAST","Car broken into at Avondale flea market, laptop and handbag stolen",1,567.64,517.744444,517.744444,SWIPE,,0.0877,False,,2026-03-08 00:31:49,2026-03-15 00:31:49,2026-03-21 00:31:49
CLM-159590765920,POL-399463709090,ZW-PH-6148175422,RE9RS96YNWHASYSJ9,ACCIDENT,SUBMITTED,MINOR,2026-04-22 17:46:22,"Township Road, Macheke, MASHONALAND_EAST",T-bone collision at four-way stop near Chitungwiza,2,844.37,0.00,0.00,CASH,,0.2864,False,,2026-04-25 00:46:22,,
CLM-871825673624,POL-069122607691,ZW-PH-7863330883,7EV3D69S53BG14YJT,ACCIDENT,CLOSED,MINOR,2024-12-05 19:00:00,"Residential Area, Marondera, MASHONALAND_EAST",Collision in Westgate shopping mall parking area while reversing,1,26604.29,3717.919071,3717.919071,ECOCASH,,0.6285,False,Claim amount suspiciously close to coverage limit; Claim filed within first 14 days of policy inception,2024-12-06 10:00:00,2025-08-17 19:07:40,2025-08-28 19:07:40
CLM-381865708951,POL-935965867621,ZW-PH-8523675589,A5V7YZW3PNVWTTZ3P,ACCIDENT,CLOSED,MAJOR,2025-12-01 18:00:00,"Industrial Area, Chimanimani, MANICALAND",T-bone collision at four-way stop near Chitungwiza,2,10458.0,3597.31169,3597.31169,ECOCASH,,0.6297,False,Claim amount suspiciously close to coverage limit; Claim filed within first 14 days of policy inception,2025-12-02 16:00:00,2026-02-04 16:36:02,2026-02-14 16:36:02
CLM-887596559226,POL-935965867621,ZW-PH-8523675589,A5V7YZW3PNVWTTZ3P,ACCIDENT,PAID,MODERATE,2026-01-12 06:00:26,"Industrial Area, Chimanimani, MANICALAND",Backed into another vehicle at Borrowdale Racecourse parking,2,9948.17,1899.296201,1899.296201,CASH,,0.667,False,Claim exceeds market value for 19-year-old vehicle; Staged incident in high-risk location with near-maximum claim,2026-01-13 05:00:26,2026-01-20 05:00:26,
CLM-076339341331,POL-239268754744,ZW-PH-6382194526,TB6LY89J8D79B0XK8,ACCIDENT,PAID,MINOR,2026-03-04 06:27:30,"Parking Lot, Mutare, MANICALAND",Hit while parked at Sam Levy Shopping Centre,2,420.75,393.695775,393.695775,CASH,,0.161,False,,2026-03-05 06:27:30,2026-03-17 06:27:30,
CLM-415038128188,POL-673778585579,ZW-PH-3935268131,CZDNL3NBVDSAEBJZG,ACCIDENT,PAID,MINOR,2025-11-12 17:31:04,"Simon Mazorodze Road, Kwekwe, MIDLANDS",T-bone collision at four-way stop near Chitungwiza,2,1565.8,1397.47650,1397.47650,SWIPE,,0.2768,False,,2025-11-13 06:31:04,2025-12-01 06:31:04,
CLM-772261339398,POL-673778585579,ZW-PH-3935268131,CZDNL3NBVDSAEBJZG,VANDALISM,PAID,MAJOR,2025-12-31 10:16:58,"Beitbridge Border Post, Kwekwe, MIDLANDS",Tyres slashed in Avenues apartment block parking,1,9695.18,9090.200768,9090.200768,BANK_TRANSFER,,0.1325,False,,2026-01-02 15:16:58,2026-01-08 15:16:58,
CLM-549599994868,POL-686125334947,ZW-PH-4176395612,9V8NDHAEG46M5MXW7,ACCIDENT,UNDER_REVIEW,MINOR,2026-04-15 17:36:09,"Chirundu Border Post, Masvingo, MASVINGO",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,1156.56,0.00,0.00,SWIPE,,0.1846,False,,2026-04-18 11:36:09,,
CLM-763051188897,POL-836507162888,ZW-PH-1486504120,CHK5ANC8PDEM9KVJR,ACCIDENT,PAID,MAJOR,2025-11-02 19:45:28,"Simon Mazorodze Road, Binga, MATABELELAND_NORTH","Hit and run incident on Simon Mazorodze Road, other driver fled",2,2863.2,2770.43232,2770.43232,BANK_TRANSFER,,0.2368,False,Multiple claims history,2025-11-05 13:45:28,2025-11-18 13:45:28,
CLM-560534605255,POL-836507162888,ZW-PH-1486504120,CHK5ANC8PDEM9KVJR,ACCIDENT,PAID,MAJOR,2025-10-21 06:36:09,"Robert Mugabe Road, Binga, MATABELELAND_NORTH",Single vehicle accident — lost control on wet road near Mutare,2,4074.33,3543.444801,3543.444801,SWIPE,,0.2368,False,Multiple claims history,2025-10-23 02:36:09,2025-10-31 02:36:09,
CLM-700636759917,POL-836507162888,ZW-PH-1486504120,CHK5ANC8PDEM9KVJR,ACCIDENT,REJECTED,MINOR,2025-11-27 15:19:02,"Gas Station, Binga, MATABELELAND_NORTH","Hit and run incident on Simon Mazorodze Road, other driver fled",4,637.4,0.00,0.00,SWIPE,,0.5547,False,Multiple claims history,2025-11-29 09:19:02,2025-12-12 09:19:02,2025-12-12 09:19:02
CLM-843644898449,POL-872488754737,ZW-PH-8756706566,AYNUMLTHR165NE6Z2,ACCIDENT,APPROVED,MODERATE,2025-04-25 22:09:40,"Victoria Falls, Binga, MATABELELAND_NORTH",Hit while parked at Sam Levy Shopping Centre,2,2657.71,2517.382912,0.00,BANK_TRANSFER,,0.1388,False,,2025-04-28 04:09:40,2025-05-08 04:09:40,
CLM-352919297882,POL-431825944755,ZW-PH-2807776870,1ZSMJM00AGEX7P6NW,ACCIDENT,SUBMITTED,MINOR,2024-06-13 05:00:00,"Border Post Area, Chirundu, BULAWAYO",Incident occurred — significant damage discovered afterwards,1,999.59,891.534321,891.534321,CASH,,0.7295,True,Claim filed within first 14 days of policy inception; Incident at border crossing — difficult to verify independently; Non-specific incident description,2024-06-13 23:00:00,2024-07-16 04:20:12,
CLM-827463148611,POL-657809645075,ZW-PH-1381550628,D34JL7975XNFXZSL7,ACCIDENT,CLOSED,MINOR,2026-01-25 15:46:30,"Tollgate, Beitbridge, MATABELELAND_SOUTH",Side collision at intersection — other driver ran red light in Harare CBD,2,1189.43,1050.861405,1050.861405,BANK_TRANSFER,,0.051,False,,2026-01-25 22:46:30,2026-02-10 22:46:30,2026-02-18 22:46:30
CLM-238241785815,POL-131392032008,ZW-PH-3961932817,A2G1E7H5NDH2XY9XL,ACCIDENT,APPROVED,MINOR,2026-01-03 15:50:14,"Rural Road, Makuti, MASHONALAND_WEST",Hit while parked at Sam Levy Shopping Centre,2,1665.14,1475.813582,0.00,BANK_TRANSFER,,0.1261,False,,2026-01-05 12:50:14,2026-01-19 12:50:14,
CLM-452926512217,POL-131392032008,ZW-PH-3961932817,A2G1E7H5NDH2XY9XL,ACCIDENT,CLOSED,MAJOR,2025-07-15 05:00:00,"Highway A1, Makuti, MASHONALAND_WEST",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,8668.69,7578.168798,7578.168798,SWIPE,,0.4884,False,Claim filed within first 14 days of policy inception,2025-07-15 07:00:00,2025-12-03 19:14:38,2025-12-17 19:14:38
CLM-905484822759,POL-090467028711,ZW-PH-9815581788,4RHGACC918M43GWN4,ACCIDENT,APPROVED,TOTAL_LOSS,2025-04-30 14:14:57,"Gas Station, Chitungwiza, HARARE",Collision in Westgate shopping mall parking area while reversing,2,25161.88,24100.048664,0.00,CASH,,0.1881,False,,2025-05-01 20:14:57,2025-05-14 20:14:57,
CLM-577705528038,POL-090467028711,ZW-PH-9815581788,4RHGACC918M43GWN4,ACCIDENT,REJECTED,MODERATE,2025-04-15 02:00:34,"Township Road, Chitungwiza, HARARE",Single vehicle accident — lost control on wet road near Mutare,2,4752.08,0.00,0.00,ECOCASH,,0.0059,False,,2025-04-17 01:00:34,2025-05-12 01:00:34,2025-05-12 01:00:34
CLM-262645823653,POL-786445006235,ZW-PH-9723045416,CHATYHMD2YLZ3ME69,ACCIDENT,CLOSED,MINOR,2026-01-27 23:29:26,"Parking Lot, Ruwa, HARARE",Multi-vehicle collision on A1 highway due to sudden braking,2,964.54,906.088876,906.088876,BANK_TRANSFER,,0.2954,False,,2026-01-28 09:29:26,2026-02-03 09:29:26,2026-02-16 09:29:26
CLM-949185127751,POL-523004617834,ZW-PH-7745906051,4DPVE4NZLXSU508PT,OTHER,REJECTED,MODERATE,2025-02-04 04:48:00,"Beitbridge Border Post, Masvingo, MASVINGO",Collision with cyclist at roundabout near Airport Road,1,757.28,0.00,0.00,SWIPE,,0.2442,False,,2025-02-06 03:48:00,2025-03-02 03:48:00,2025-03-02 03:48:00
CLM-623885016691,POL-549400226100,ZW-PH-1932016880,YEPMKRZ55A9UU9SP1,NATURAL_DISASTER,APPROVED,MINOR,2026-04-09 22:45:29,"Highway A1, Shurugwi, MIDLANDS",Msasa tree fell on vehicle during Cyclone-linked winds in Mutare,1,247.67,237.168792,0.00,BANK_TRANSFER,,0.2149,False,Multiple claims history,2026-04-11 16:45:29,2026-04-16 16:45:29,
CLM-436311251310,POL-549400226100,ZW-PH-1932016880,YEPMKRZ55A9UU9SP1,ACCIDENT,SUBMITTED,MINOR,2026-04-22 17:54:36,"Rural Road, Shurugwi, MIDLANDS",Side collision at intersection — other driver ran red light in Harare CBD,1,186.56,0.00,0.00,SWIPE,,0.47519999999999996,False,Multiple claims history,2026-04-25 09:54:36,,
CLM-804009312591,POL-549400226100,ZW-PH-1932016880,YEPMKRZ55A9UU9SP1,ACCIDENT,APPROVED,MODERATE,2026-04-10 18:06:54,"Commuter Terminus, Shurugwi, MIDLANDS","Hit and run incident on Simon Mazorodze Road, other driver fled",2,328.07,327.282632,0.00,BANK_TRANSFER,,0.349,False,Multiple claims history,2026-04-13 03:06:54,2026-04-24 03:06:54,
CLM-742762303878,POL-745294308910,ZW-PH-0774643016,GS585W90H8RCAF4ZG,ACCIDENT,PAID,MAJOR,2025-10-03 10:32:30,"Shopping Center Parking, Beitbridge, MATABELELAND_SOUTH","Hit and run incident on Simon Mazorodze Road, other driver fled",2,3491.93,3237.368303,3237.368303,BANK_TRANSFER,,0.2101,False,,2025-10-04 12:32:30,2025-10-10 12:32:30,
CLM-364218030104,POL-745294308910,ZW-PH-0774643016,GS585W90H8RCAF4ZG,OTHER,PAID,MODERATE,2025-08-25 07:00:14,"Gas Station, Beitbridge, MATABELELAND_SOUTH",Struck by falling rock from kopje near Marondera,1,822.82,754.937350,754.937350,CASH,,0.0368,False,,2025-08-27 17:00:14,2025-09-07 17:00:14,
